sourceID,sourceAddress,sourceType,sourceLocation,destinationServiceAddress,destinationServiceType,destinationLocation,accessedNodeAddress,accessedNodeType,operation,value,timestamp,normality
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,registerService,none,1520031936496,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/lightcontrol45,/lightControler,registerService,none,1520031989355,normal
movement25,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25,/movementSensor,registerService,none,1520031990995,normal
heatingcontrol4,/agent25/heatingcontrol4,/thermostat,dummy6,/agent25/heatingcontrol4,/thermostat,dummy6,/agent25/heatingcontrol4,/thermostat,registerService,none,1520032031093,normal
heatingcontrol4,/agent25/heatingcontrol4,/thermostat,dummy6,/agent25/heatingcontrol4,/thermostat,dummy6,/agent25/heatingcontrol4,/thermostat,write,1,1520032044151,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032134464,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.3385,1520032137518,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032158079,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.2280,1520032158387,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.3950,1520032179184,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032179430,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.1393,1520032200043,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032200627,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,19.8872,1520032220799,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032221260,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,19.5588,1520032241453,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032242057,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.2295,1520032262814,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032262896,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.3640,1520032283549,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032283601,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,19.5419,1520032304193,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032304346,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,19.6754,1520032324805,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032325021,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,20.2335,1520032345469,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032345644,normal
tempin25,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,dummy6,/agent25/tempin25,/sensorService,write,19.7673,1520032366092,normal
lightcontrol45,/agent25/lightcontrol45,/lightControler,dummy6,/agent25/movement25,/movementSensor,dummy6,/agent25/movement25/movement,/derived/boolean,read,0,1520032366267,normal
